Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2023/03/13 11:41:00 PM,2023/03/13,23:41,2023,Monday,2023/03/13 11:41:00 PM,125373607041,1253736,230167874,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/01 05:02:00 AM,2023/03/01,05:02,2023,Wednesday,2023/03/11 03:40:00 PM,125379506374,1253795,236046151,,II,Coplogic Initial,true,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,,,Mission,,,,,,,,,,,,,,
2023/03/13 01:16:00 PM,2023/03/13,13:16,2023,Monday,2023/03/13 01:17:00 PM,125357107041,1253571,220343896,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/13 10:59:00 AM,2023/03/13,10:59,2023,Monday,2023/03/13 11:00:00 AM,125355107041,1253551,230174885,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/14 06:44:00 PM,2023/03/14,18:44,2023,Tuesday,2023/03/14 06:45:00 PM,125402407041,1254024,230176728,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/02/15 03:00:00 AM,2023/02/15,03:00,2023,Wednesday,2023/03/11 04:55:00 PM,125378606372,1253786,236046123,,II,Coplogic Initial,true,06372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,,,Mission,,,,,,,,,,,,,,
2023/03/11 12:30:00 PM,2023/03/11,12:30,2023,Saturday,2023/03/12 04:15:00 PM,125381606244,1253816,236046004,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/13 11:26:00 AM,2023/03/13,11:26,2023,Monday,2023/03/13 01:37:00 PM,125419506244,1254195,236046850,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/11 03:00:00 PM,2023/03/11,15:00,2023,Saturday,2023/03/13 08:29:00 AM,125420606244,1254206,236045937,,IS,Coplogic Supplement,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/11 02:00:00 PM,2023/03/11,14:00,2023,Saturday,2023/03/15 11:21:00 AM,125431804134,1254318,230182844,230741133,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,STANYAN ST \ HAYES ST,26446000,Park,Golden Gate Park,1,1,37.772895177200766,-122.45428511766733,POINT (-122.45428511766733 37.772895177200766),,,,,,,4,7
2023/03/13 07:30:00 AM,2023/03/13,07:30,2023,Monday,2023/03/14 07:11:00 AM,125412306244,1254123,236047096,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2022/06/27 12:00:00 PM,2022/06/27,12:00,2022,Monday,2023/03/15 05:20:00 PM,125439371000,1254393,230184129,230742480,II,Initial,,71000,Lost Property,Lost Property,Lost Property,Open or Active,GEARY ST \ POWELL ST,24903000,Central,Financial District/South Beach,3,3,37.78735926098589,-122.40822672700406,POINT (-122.40822672700406 37.78735926098589),19,,1,,,,3,6
2023/03/16 09:26:00 AM,2023/03/16,09:26,2023,Thursday,2023/03/16 09:26:00 AM,125467916780,1254679,230185672,230750962,II,Initial,,16780,Drug Violation,Drug Violation,"Firearm, Armed While Possessing Controlled Substance",Cite or Arrest Adult,,,Out of SF,,,,,,,,,,,,,,
2023/03/16 05:30:00 PM,2023/03/16,17:30,2023,Thursday,2023/03/16 06:02:00 PM,125482604134,1254826,230187101,230752550,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,18TH ST \ DE HARO ST,23743000,Bayview,Potrero Hill,10,10,37.76228996810526,-122.40132418490647,POINT (-122.40132418490647 37.76228996810526),54,,,,,,9,2
2023/02/21 02:15:00 PM,2023/02/21,14:15,2023,Tuesday,2023/02/25 09:56:00 PM,125459971000,1254599,236047529,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/16 01:49:00 PM,2023/03/16,13:49,2023,Thursday,2023/03/16 01:49:00 PM,125473107041,1254731,230178047,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/16 10:15:00 PM,2023/03/16,22:15,2023,Thursday,2023/03/17 12:03:00 PM,125561906374,1255619,236049456,,II,Coplogic Initial,true,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2023/03/13 11:35:00 AM,2023/03/13,11:35,2023,Monday,2023/03/18 05:16:00 PM,125569406224,1255694,236046816,,IS,Coplogic Supplement,true,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/02/11 02:00:00 PM,2023/02/11,14:00,2023,Saturday,2023/03/18 01:20:00 PM,125564606244,1255646,236050049,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/16 09:00:00 PM,2023/03/16,21:00,2023,Thursday,2023/03/16 09:15:00 PM,125486107041,1254861,230172566,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/15 10:00:00 AM,2023/03/15,10:00,2023,Wednesday,2023/03/15 05:02:00 PM,125535028150,1255350,236048862,,II,Coplogic Initial,true,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,,,Southern,,,,,,,,,,,,,,
2023/03/16 08:00:00 PM,2023/03/16,20:00,2023,Thursday,2023/03/16 10:13:00 PM,125564306244,1255643,236049876,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/17 08:30:00 AM,2023/03/17,08:30,2023,Friday,2023/03/17 10:32:00 AM,125507216650,1255072,230188660,230761044,II,Initial,,16650,Drug Offense,Drug Violation,Methamphetamine Offense,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/07 01:30:00 PM,2023/03/07,13:30,2023,Tuesday,2023/03/17 09:44:00 AM,125565971000,1255659,236049951,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/16 12:00:00 PM,2023/03/16,12:00,2023,Thursday,2023/03/16 04:20:00 PM,125534806374,1255348,236048765,,II,Coplogic Initial,true,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,,,Southern,,,,,,,,,,,,,,
2022/05/15 04:00:00 PM,2022/05/15,16:00,2022,Sunday,2022/05/17 07:32:00 PM,116100671000,1161006,226100018,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/17 02:20:00 PM,2023/03/17,14:20,2023,Friday,2023/03/17 06:19:00 PM,125567106244,1255671,236050102,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2023/03/18 07:15:00 PM,2023/03/18,19:15,2023,Saturday,2023/03/18 07:15:00 PM,125552607041,1255526,230130047,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/14 04:33:00 PM,2023/03/14,16:33,2023,Tuesday,2023/03/16 09:30:00 AM,125495206244,1254952,236048420,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2023/03/18 12:43:00 AM,2023/03/18,00:43,2023,Saturday,2023/03/18 12:43:00 AM,125527707041,1255277,230081127,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/20 09:10:00 AM,2023/03/20,09:10,2023,Monday,2023/03/20 09:11:00 AM,125608607041,1256086,230195483,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2023/03/16 01:30:00 PM,2023/03/16,13:30,2023,Thursday,2023/03/20 06:11:00 PM,125639506244,1256395,236049490,,IS,Coplogic Supplement,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Northern,,,,,,,,,,,,,,
2023/03/16 02:00:00 PM,2023/03/16,14:00,2023,Thursday,2023/03/16 05:51:00 PM,125632871000,1256328,236050889,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Mission,,,,,,,,,,,,,,
2023/03/21 03:50:00 PM,2023/03/21,15:50,2023,Tuesday,2023/03/21 04:01:00 PM,125656351040,1256563,230199764,230802198,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,POST ST \ LARKIN ST,25167000,Northern,Tenderloin,3,6,37.787037946181535,-122.41827098126804,POINT (-122.41827098126804 37.787037946181535),50,,,,,,10,6
2023/03/18 09:15:00 PM,2023/03/18,21:15,2023,Saturday,2023/03/18 11:13:00 PM,125637406372,1256374,236050726,,II,Coplogic Initial,true,06372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,,,Mission,,,,,,,,,,,,,,
2018/09/03 09:00:00 AM,2018/09/03,09:00,2018,Monday,2018/09/03 01:17:00 PM,73006271000,730062,186245900,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2019/01/13 02:00:00 PM,2019/01/13,14:00,2019,Sunday,2019/01/14 12:10:00 PM,75982071000,759820,196009821,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/11/02 12:00:00 PM,2018/11/02,12:00,2018,Friday,2018/11/03 02:21:00 PM,73376171000,733761,180833020,,IS,Coplogic Supplement,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Taraval,,,,,,,,,,,,,,
2023/01/09 08:00:00 PM,2023/01/09,20:00,2023,Monday,2023/01/17 01:25:00 PM,123729871000,1237298,236012936,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2019/08/06 02:25:00 PM,2019/08/06,14:25,2019,Tuesday,2019/08/06 02:28:00 PM,83141304134,831413,190574333,192182307,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,,,Central,,,,,,,,,,,,,,
2021/01/22 01:45:00 PM,2021/01/22,13:45,2021,Friday,2021/01/22 06:56:00 PM,100336271000,1003362,216013700,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Southern,,,,,,,,,,,,,,
2018/01/18 04:00:00 PM,2018/01/18,16:00,2018,Thursday,2018/01/29 03:27:00 PM,63432371000,634323,186033620,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Tenderloin,,,,,,,,,,,,,,
2019/05/01 03:00:00 PM,2019/05/01,15:00,2019,Wednesday,2019/05/06 08:15:00 PM,80241271000,802412,196096505,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/08/10 09:00:00 AM,2018/08/10,09:00,2018,Friday,2018/08/11 10:30:00 AM,71128371000,711283,186202483,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/10/23 07:00:00 PM,2018/10/23,19:00,2018,Tuesday,2018/11/06 03:25:00 PM,73846971000,738469,186264546,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
2019/03/04 08:30:00 AM,2019/03/04,08:30,2019,Monday,2019/03/04 09:12:00 AM,77638671000,776386,196044297,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
2018/06/06 08:00:00 PM,2018/06/06,20:00,2018,Wednesday,2018/08/14 10:18:00 AM,70461171000,704611,186189728,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Mission,,,,,,,,,,,,,,
